cell_id,cx,cy,cz,lambda,chi,sigma,is_interface,surface_x,surface_y,surface_z,normal_x,normal_y,normal_z,interpolation_coefficient
0,0.001,0.001,0.001,1,1,-0.016,0,0,0,0,0,0,0,0
1,0.003,0.001,0.001,1,1,-0.016,0,0,0,0,0,0,0,0
2,0.005,0.001,0.001,1,1,-0.016,0,0,0,0,0,0,0,0
3,0.007,0.001,0.001,1,1,-0.016,0,0,0,0,0,0,0,0
4,0.009,0.001,0.001,1,1,-0.016,0,0,0,0,0,0,0,0
5,0.011,0.001,0.001,1,1,-0.016,0,0,0,0,0,0,0,0
6,0.013,0.001,0.001,1,1,-0.016,0,0,0,0,0,0,0,0
7,0.015,0.001,0.001,1,1,-0.016,0,0,0,0,0,0,0,0
8,0.017,0.001,0.001,1,1,-0.016,0,0,0,0,0,0,0,0
9,0.019,0.001,0.001,1,1,-0.014,0,0,0,0,0,0,0,0
10,0.021,0.001,0.001,1,1,-0.012,0,0,0,0,0,0,0,0
11,0.023,0.001,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
12,0.025,0.001,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
13,0.027,0.001,0.001,1,1,-0.006,0,0,0,0,0,0,0,0
14,0.029,0.001,0.001,1,1,-0.004,0,0,0,0,0,0,0,0
15,0.031,0.001,0.001,1,1,-0.002,1,0,0,0,0,0,0,0.666667
16,0.033,0.001,0.001,0.208609,1,0.002,1,0,0,0,0,0,0,0.666667
17,0.035,0.001,0.001,0,0,0.004,0,0,0,0,0,0,0,0
18,0.037,0.001,0.001,0,0,0.006,0,0,0,0,0,0,0,0
19,0.039,0.001,0.001,0,0,0.008,0,0,0,0,0,0,0,0
20,0.041,0.001,0.001,0,0,0.01,0,0,0,0,0,0,0,0
21,0.043,0.001,0.001,0,0,0.012,0,0,0,0,0,0,0,0
22,0.045,0.001,0.001,0,0,0.014,0,0,0,0,0,0,0,0
23,0.047,0.001,0.001,0,0,0.016,0,0,0,0,0,0,0,0
24,0.049,0.001,0.001,0,0,0.016,0,0,0,0,0,0,0,0
25,0.051,0.001,0.001,0,0,0.016,0,0,0,0,0,0,0,0
26,0.053,0.001,0.001,0,0,0.016,0,0,0,0,0,0,0,0
27,0.055,0.001,0.001,0,0,0.016,0,0,0,0,0,0,0,0
28,0.057,0.001,0.001,0,0,0.016,0,0,0,0,0,0,0,0
29,0.059,0.001,0.001,0,0,0.016,0,0,0,0,0,0,0,0
30,0.061,0.001,0.001,0,0,0.016,0,0,0,0,0,0,0,0
31,0.063,0.001,0.001,0,0,0.016,0,0,0,0,0,0,0,0
32,0.065,0.001,0.001,0,0,0.016,0,0,0,0,0,0,0,0
