case_id,initialization,k,rel_U,rel_p,normalized_residual,rho_u,rho_p,rho_phi
topology_0290,cold,0,1.0,1.0,1.0,0.9934555760790903,0.11421916708483618,1.5093338072831849e-05
topology_0290,cold,5,0.7335044267190814,0.6453313008747122,5.360310925418875,5.3599924429114,0.058430627271789465,0.0003014867569453377
topology_0290,cold,10,0.5859342329714555,0.5699863341247947,2.147733799248431,2.147360183928715,0.04005864018634293,0.00013512274129944728
topology_0290,cold,20,0.4589350905125553,0.6020600453393694,0.6189565973507528,0.6188266237683528,0.01268377444057443,3.139146293070024e-05
topology_0290,cold,50,0.3370357972048269,0.5961634730951657,0.15921676611753968,0.1591454775277966,0.004763974909049159,1.1766175042874207e-05
topology_0290,neural,0,0.6788030389567685,0.9988366992518372,3.9921127705596406,3.9895917536013803,0.14185200129245973,0.00014896495746359023
topology_0290,neural,5,0.6111630028344233,0.6937332595082079,1.9544126083288689,1.953922680334585,0.04375821766422778,0.00014579373797238046
topology_0290,neural,10,0.548950328489319,0.6410316617703418,1.1091467397116834,1.1088974236170375,0.02351575985937353,5.6096247066387016e-05
topology_0290,neural,20,0.4635806366998759,0.6346774998080341,0.4589203602728929,0.4587785198401971,0.011409037881406932,2.570720331604163e-05
topology_0290,neural,50,0.35820106071685315,0.6129284883204953,0.1729824672580796,0.17291350241073597,0.004884108365174042,1.2174654367960631e-05
topology_0290,teacher,0,0.4589350905125553,0.6020600453393694,0.6189565973507528,0.6188266237683528,0.01268377444057443,3.139146293070024e-05
topology_0290,teacher,5,0.4222010171410047,0.6028984442608399,0.4260444010714261,0.4259375613802783,0.009540699837133269,2.3159221975831413e-05
topology_0290,teacher,10,0.3954988462496191,0.6032050515595708,0.3249407218822197,0.32484431269951697,0.007914852710656615,1.872658845234862e-05
topology_0290,teacher,20,0.35978684348159734,0.6015156753256526,0.21795746721046744,0.2178762310611825,0.005950230819883392,1.4302667867319804e-05
topology_0290,teacher,50,0.30799734252778205,0.5824467534099805,0.10190675369089856,0.10185026557210652,0.003392605375087935,8.915030300342107e-06
topology_0291,cold,0,1.0,1.0,1.0,0.9882133948233398,0.1530826119064255,1.4954478080823308e-05
topology_0291,cold,5,0.7437694112054006,0.39233869154999873,7.073041095606005,7.072489942637018,0.08829636404868312,0.00032175363640235316
topology_0291,cold,10,0.5708207776158478,0.4352389646412465,2.870288016422796,2.8696298418486808,0.06146405468533786,0.00019486780388042657
topology_0291,cold,20,0.43921876035101254,0.5378145264444071,0.8234874428619734,0.8231784142114947,0.022558027737764427,4.808516591211477e-05
topology_0291,cold,50,0.3445918484765129,0.5398417742421756,0.18834549920426458,0.1881828894063219,0.007824759574973472,1.851446761592254e-05
topology_0291,neural,0,0.6197702030279982,0.9984331570830496,4.890037700171734,4.886558303427542,0.18443592576789214,0.00021351898521170153
topology_0291,neural,5,0.5878070947177346,0.6292145775531994,1.8827874458754978,1.8818624932270671,0.05900928868450671,0.00016364758839997582
topology_0291,neural,10,0.5286922225085837,0.5653356052589782,1.2244553176475839,1.223999996112249,0.03338906442400723,6.935091586310713e-05
topology_0291,neural,20,0.45108534815283824,0.5779413094642977,0.5529212214755136,0.5526157014383678,0.01837831039114482,3.7268234940329266e-05
topology_0291,neural,50,0.37024236829008583,0.5612463624244941,0.20388743235091347,0.20373381500338653,0.00791311158765888,1.896880236696177e-05
topology_0291,teacher,0,0.43921876035101254,0.5378145264444071,0.8234874428619734,0.8231784142114947,0.022558027737764427,4.808516591211477e-05
topology_0291,teacher,5,0.40889889648579536,0.5450501237959235,0.5246941470591734,0.5244304730857172,0.01663206542936391,3.5451341398085884e-05
topology_0291,teacher,10,0.38814518697782313,0.5465707603642241,0.37834374350818434,0.3781054925470947,0.013424750870913136,2.8662861492189673e-05
topology_0291,teacher,20,0.36156526753917007,0.5453086309714408,0.24562099188119424,0.24542400927502273,0.009834980316013976,2.2051278099589533e-05
topology_0291,teacher,50,0.32087645189476166,0.5251705731472569,0.13984964199754124,0.1397365665711252,0.005622643527176607,1.4474814326401492e-05
topology_0292,cold,0,1.0,1.0,1.0,0.9934555760790902,0.11421916708483618,1.509333807283185e-05
topology_0292,cold,5,0.7157184499314347,0.4349611818918078,4.861227295952053,4.8608042895213694,0.06412801026610905,0.00028315945501939565
topology_0292,cold,10,0.498562617474082,0.4083483063591767,2.2523705961577196,2.252001565125713,0.04077055395790455,0.00012262619470204824
topology_0292,cold,20,0.3229810891149426,0.4887364653816609,0.5316732028987977,0.5314707088291556,0.01467239560848216,3.382911815251076e-05
topology_0292,cold,50,0.24764339119354115,0.507961186679371,0.11453380455332797,0.11442518654265796,0.004986876036284478,1.1727599511884993e-05
topology_0292,neural,0,0.6248479902247912,0.9982848547823002,3.7063535464893747,3.703853999263313,0.13609607840696553,0.00014545710150211516
topology_0292,neural,5,0.5603230200500976,0.5618589490296817,1.7839648513610136,1.7834929333515217,0.04103081988262773,0.00013927120813346037
topology_0292,neural,10,0.4699354244538264,0.49695158499106434,1.1350359723226553,1.1347915768712935,0.023552757270539654,5.615473121730229e-05
topology_0292,neural,20,0.3655821817922919,0.5302057494796909,0.42576293304847623,0.4255884368952057,0.01218838980371089,2.6327352890958894e-05
topology_0292,neural,50,0.28260262244733897,0.524824075006102,0.1354053655645084,0.13531073518636635,0.005061404861104865,1.2157927078941278e-05
topology_0292,teacher,0,0.3229810891149426,0.4887364653816609,0.5316732028987977,0.5314707088291556,0.01467239560848216,3.382911815251076e-05
topology_0292,teacher,5,0.29443094683005167,0.5063276334812468,0.313761160658683,0.31357282609550086,0.010869597527324127,2.2846414587596266e-05
topology_0292,teacher,10,0.2784987495287245,0.5123527947240499,0.21679498015567564,0.21662172693076678,0.008665478401420375,1.806395911498347e-05
topology_0292,teacher,20,0.26023975155425705,0.5128930156608761,0.14258831443901826,0.14244987680927332,0.0062817049951271915,1.3926140898187794e-05
topology_0292,teacher,50,0.22716665208114184,0.4960118411044336,0.08835721922052267,0.08828544648384277,0.0035606241270793263,9.130043391216656e-06
topology_0293,cold,0,1.0,1.0,1.0,0.9934555760790903,0.11421916708483627,1.509333807283186e-05
topology_0293,cold,5,0.7486558737845813,0.4918058697423503,5.2695816877618755,5.269216653433862,0.06202375440887042,0.00027759605598631754
topology_0293,cold,10,0.6022848028506712,0.49235549173602655,1.7844455666276344,1.783955719143849,0.041808546849315245,0.00013342158705514107
topology_0293,cold,20,0.4654156095905575,0.5633172894914508,0.5903722158260957,0.5902082850889715,0.013911592826994031,3.1886757367564333e-05
topology_0293,cold,50,0.3580118647255887,0.5565479630951101,0.14263296377493023,0.14254194032809658,0.005094845766516374,1.222036501630765e-05
topology_0293,neural,0,0.7029271075410961,0.9987947741541424,3.781805306276035,3.7789899197397974,0.14589906280786358,0.00015669831489171392
topology_0293,neural,5,0.6482565284420048,0.6631458575649098,1.5914697050771367,1.5908944376895027,0.0427866105896667,0.0001275192454866056
topology_0293,neural,10,0.5772990773191237,0.5924592916431412,0.9960483338499642,0.9957611449562245,0.02391700156419844,5.0960147928055696e-05
topology_0293,neural,20,0.48275582228125674,0.5967633811679709,0.47780353873845705,0.47764318809434775,0.012377632524609416,2.666731382732924e-05
topology_0293,neural,50,0.3839574355157921,0.5758657770802248,0.158323440997371,0.15823840635438166,0.0051883102067774006,1.2683526910011986e-05
topology_0293,teacher,0,0.4654156095905575,0.5633172894914508,0.5903722158260957,0.5902082850889715,0.013911592826994031,3.1886757367564333e-05
topology_0293,teacher,5,0.43155873705726105,0.5635423837240285,0.40057421484202965,0.40043241293930976,0.010657566118513706,2.3416664792907373e-05
topology_0293,teacher,10,0.4079943549810783,0.5646796281626658,0.2971163200516195,0.2969879143275002,0.0087341866152667,1.9198632374641714e-05
topology_0293,teacher,20,0.37759310995255696,0.5623820487675903,0.19063941791471323,0.19053106805602957,0.006426472915407133,1.4634098906180896e-05
topology_0293,teacher,50,0.33053782884688243,0.5429694116429659,0.10282357360359982,0.10275926076112735,0.0036361415970550858,9.525109151812359e-06
topology_0294,cold,0,1.0,1.0,1.0,0.9934555760790902,0.11421916708483618,1.509333807283185e-05
topology_0294,cold,5,0.6261464137287389,0.6215434456606657,5.334287727093509,5.333946760032275,0.06031137614736612,0.0002333856083463086
topology_0294,cold,10,0.35385757104109555,0.4795246422249357,2.130726521986618,2.130341870024032,0.040484669415105486,0.00014093278170400342
topology_0294,cold,20,0.2110475115137848,0.5536266646469901,0.4073229560378634,0.40706368220945127,0.01453094081128114,3.0010750829077916e-05
topology_0294,cold,50,0.17217561042672858,0.5408950653808687,0.10360617501181986,0.10348971418347891,0.004911051911262804,1.1310462943327887e-05
topology_0294,neural,0,0.3768733093533616,0.9977384644809025,3.819068428371103,3.8171325412807926,0.1215845160572567,0.00016831901455944891
topology_0294,neural,5,0.38064204314225164,0.6517555320559464,1.260103510292624,1.2595144253954451,0.03852603605321676,0.00011583868935543618
topology_0294,neural,10,0.3372651936885079,0.582156404125537,0.7505636257246722,0.7502414468592183,0.0219892123336312,4.7079709506110826e-05
topology_0294,neural,20,0.2743053548676493,0.5855460673991226,0.3052885681823655,0.30506996570600875,0.011550989314705459,2.3083003972423653e-05
topology_0294,neural,50,0.21250832908872597,0.5625343965822399,0.12547732694368402,0.12537980549283576,0.0049460908768559604,1.1685407085738085e-05
topology_0294,teacher,0,0.2110475115137848,0.5536266646469901,0.4073229560378634,0.40706368220945127,0.01453094081128114,3.0010750829077916e-05
topology_0294,teacher,5,0.1991648132835167,0.5566525795941689,0.23036207627842406,0.23012076003282433,0.010541421166832907,2.071243998476305e-05
topology_0294,teacher,10,0.19248519738745368,0.5533052973065854,0.1689848881478953,0.16877338377813858,0.008452044738968061,1.703421160337231e-05
topology_0294,teacher,20,0.18180401043823832,0.5471286738270992,0.12407594447585793,0.12392157019647845,0.006187427316941334,1.3446673281136116e-05
topology_0294,teacher,50,0.15524563895610646,0.5291725541971273,0.08013790631629025,0.08006219974173374,0.0034825457782408998,8.727869247936347e-06
topology_0295,cold,0,1.0,1.0,1.0,0.9882133948233398,0.1530826119064255,1.4954478080823308e-05
topology_0295,cold,5,0.8330484727371023,0.5715741165317844,6.583432885548077,6.582876542683315,0.08558531427949823,0.0003691684470450042
topology_0295,cold,10,0.7464065692529778,0.6385372997919607,2.4299131084149748,2.429148549625492,0.06095084440154226,0.00018128992140078779
topology_0295,cold,20,0.6809806113545269,0.6897088421542878,0.6554886678324675,0.6551768099113442,0.020217312537884287,4.1047807553772844e-05
topology_0295,cold,50,0.6021988931542538,0.6590676667489105,0.21855847187464456,0.2184182285339604,0.00782832571892867,1.9715597574497006e-05
topology_0295,neural,0,0.7412309397721711,0.9992824596342897,4.889821619813264,4.886644785638812,0.17623328071651942,0.00020820695649301034
topology_0295,neural,5,0.7339750105015052,0.7644368393075982,1.669390057214001,1.6684268766685926,0.05670004940363475,0.00015726562080358914
topology_0295,neural,10,0.7093667108234196,0.7207648273398328,0.9350887872745137,0.9345349703668583,0.03217802161330976,6.459867824417711e-05
topology_0295,neural,20,0.6720188053339455,0.7123095500789197,0.4475517961742224,0.4472059282459512,0.017591666187214902,3.579395758306466e-05
topology_0295,neural,50,0.61365595061183,0.6764313024179636,0.21513137672616464,0.21498369167122444,0.00797001656961556,2.0084494769441847e-05
topology_0295,teacher,0,0.6809806113545269,0.6897088421542878,0.6554886678324675,0.6551768099113442,0.020217312537884287,4.1047807553772844e-05
topology_0295,teacher,5,0.6613047311703413,0.6847242965430106,0.46354776707663164,0.46329770243751905,0.015223999947967708,3.3217938468682896e-05
