global_step,stage,stage_step,beta,learning_rate,loss_total,loss_momentum,loss_continuity,loss_x_raw,loss_y_raw,loss_continuity_raw,residual_x_l2,residual_y_l2,residual_continuity_l2,divergence_l2,inlet_flux,outlet_flux,mass_imbalance,continuity_constant_test,absolute_mass_defect,max_speed,mean_speed,pressure_min,pressure_max,gradient_norm,seconds_per_step,elapsed_seconds,rss_mb
5,0,5,0.0,0.001,1.2232547775199012,1.0471929223374703,0.1760618551824309,0.00371561302190032,0.0003621691545356375,0.017673982584840407,0.006527680518996487,0.0019969280684759604,0.0005665191327194344,0.1618867164991038,-0.0032000000000000015,0.000287917136905036,0.8349059762480661,-0.0029120828630949743,0.0029120828630949656,0.1,0.006078136224176235,-0.011667365037712747,0.0014187747348409405,153.6944752336877,1.0453736335999793,5.2268787889998976,657.51953125
10,0,10,0.0,0.001,0.6426007359942144,0.5017293338654492,0.14087140212876528,0.0017148809984088515,0.0002388592259471393,0.014141386306227556,0.0047188025452902255,0.0016650885061056536,0.000531359611489098,0.14976592618982665,-0.0032000000000000015,2.452805408316742e-05,0.9847865770344276,-0.0031754719459168397,0.003175471945916834,0.10577345919059582,0.004982294465570329,-0.011424595936687307,0.0010646487982439497,92.4751306634631,0.672667697199995,6.727391495000006,657.51953125
15,0,15,0.0,0.001,0.315365799186874,0.1640908425487077,0.15127495663816634,0.0005858270789893565,5.3144689047331337e-05,0.015185747908739744,0.003807552231698693,0.0011262712143694912,0.0005387761645434086,0.15319750296565937,-0.0032000000000000015,-6.804259479480917e-05,0.9999999996940064,-0.0032680425947948163,0.0032680425947948107,0.1,0.0033876617361107055,-0.011470247172812472,0.0012330036529534095,27.491643587417208,0.5623059696666662,8.434595849999937,657.64453125
20,0,20,0.0,0.001,0.4984648309917564,0.3209021111620153,0.17756271982974117,0.0011376353922038871,0.00011196139303434873,0.017824646995432233,0.004242571337026142,0.001331058698903323,0.0005667702488660256,0.16203137405852772,-0.0032000000000000015,-2.9627903304395658e-05,0.9999999996903668,-0.0032296279033044023,0.003229627903304397,0.1,0.0033989968619777345,-0.01162792835894766,0.0014050214743867914,71.30810570810418,0.5184497500999953,10.369001595999976,657.64453125
25,0,25,0.0,0.001,0.34394989876103915,0.2078474742987513,0.13610242446228785,0.0007363774567138813,7.298317591990552e-05,0.013662652124212495,0.003996113355014378,0.001185966587642049,0.0005241275624659155,0.14761679682116635,-0.0032000000000000015,-5.0891724048858986e-05,0.9999999996923921,-0.0032508917240488626,0.0032508917240488605,0.1,0.0031914890384942053,-0.01145136013733546,0.0010508634310430057,42.2269316287573,0.4799052019599958,11.997638723999899,657.64453125
30,0,30,0.0,0.001,0.3020627837763723,0.16281756482352855,0.13924521895284372,0.0005568031249770646,7.72104838679062e-05,0.013978141785708234,0.0037708513349130825,0.001203640750219386,0.0005236970890778762,0.14887795085770464,-0.0032000000000000015,-1.3147235979538307e-05,0.9999999996887786,-0.0032131472359795458,0.0032131472359795397,0.1,0.0032426859975962677,-0.011532666636464827,0.0012900666488973984,24.910986028053415,0.45223422696666377,13.567032999999924,657.64453125
35,0,35,0.0,0.001,0.43204074736469145,0.27251270926264937,0.15952803810204205,0.0009885367260769624,7.263113037021205e-05,0.01601423411270861,0.004164427561568471,0.0012367395852185877,0.0005412914288427293,0.1561070706327092,-0.0032000000000000015,7.141690995038825e-05,0.9563388510884473,-0.0031285830900496265,0.003128583090049613,0.1,0.0037772040677637887,-0.011660410997003956,0.0015582808939620311,63.12961603337117,0.43263834631428444,15.14235164799993,657.64453125
40,0,40,0.0,0.001,0.351936506542779,0.21435768005787662,0.1375788264849024,0.0007381652077108997,9.654624657496155e-05,0.013810860852382917,0.003974474259198448,0.0012803844724618508,0.0005206166888781441,0.14822478147268317,-0.0032000000000000015,3.62508082874835e-05,0.9775970337753489,-0.0031637491917125304,0.003163749191712518,0.1,0.0035676375388787466,-0.011527887777441143,0.0015037896502344914,47.44145516275056,0.4155894113999977,16.62358580299997,657.64453125
45,0,45,0.0,0.001,0.2926702468034701,0.1527006753746565,0.13996957142881358,0.0005499191473194002,4.469916902922905e-05,0.014050855963531204,0.0037962168252819385,0.001096726770262605,0.000526341013133149,0.14908470144128355,-0.0032000000000000015,-3.4959248519868965e-05,0.999999999690877,-0.0032349592485198734,0.0032349592485198704,0.1,0.0030246032924638538,-0.011409198358279594,0.00159046947136747,21.199010465671858,0.40153710853333247,18.0691753399999,657.64453125
50,0,50,0.0,0.001,0.36371168798110454,0.20777694153260018,0.15593474644850433,0.000739582589219293,6.950338795175071e-05,0.015653521259597566,0.00393216549437425,0.0011940563283079416,0.0005436075569939869,0.15478666303316577,-0.0032000000000000015,-5.5637761598451184e-05,0.9999999996928405,-0.0032556377615984558,0.0032556377615984527,0.1,0.003222956130651424,-0.011450297595740924,0.001914054245909837,49.01889781578518,0.3921647506999989,19.608249784999998,657.64453125
55,0,55,0.0,0.001,0.3063102611914142,0.1644222759082953,0.14188798528311888,0.0005955961492222821,4.4666224411114646e-05,0.014243436082696573,0.003825696279582774,0.0011003662996182859,0.0005292560003271814,0.14982808522090305,-0.0032000000000000015,-5.2436992213108595e-05,0.9999999996925383,-0.003252436992213119,0.00325243699221311,0.1,0.0029926395947629364,-0.011372829144464304,0.0018704748256968427,28.876558674034577,0.5454300759090901,29.99866078399998,675.62890625
60,0,60,0.0,0.001,0.3561640420510429,0.21373617551270424,0.14242786653833864,0.0007694089442716743,6.2882363637318e-05,0.01429763210313921,0.003969376681307181,0.0011873239487090066,0.0005248499996779705,0.14999820078099424,-0.0032000000000000015,4.088678189473378e-05,0.9747681513525664,-0.0031591132181052737,0.0031591132181052676,0.1,0.0035671871837137177,-0.011490137266371624,0.002055874192907543,47.723714166578,0.5357642872499999,32.145864039,675.62890625
65,0,65,0.0,0.001,0.47527349384372364,0.33373978397801013,0.14153370986571354,0.0011578210123187559,0.00014176582945952005,0.014207872118253672,0.004300715954207562,0.0014334067060060777,0.0005233323292123936,0.1497002695108833,-0.0032000000000000015,6.122454514256552e-05,0.9624530327327611,-0.0031387754548574467,0.003138775454857436,0.1,0.004096557379253247,-0.011480963343301022,0.0022046064550032022,76.4352919142828,0.5155513194307682,33.510845647999986,675.62890625
70,0,70,0.0,0.001,0.3871425300056513,0.24629626399337906,0.14084626601227224,0.0008624091046367918,9.667159005807275e-05,0.01413886301528138,0.004046237991016232,0.0012930613115521422,0.0005234908080763329,0.14944187720734167,-0.0032000000000000015,3.6464120943838015e-05,0.9774666920009374,-0.003163535879056166,0.0031635358790561632,0.1,0.003828866684957763,-0.011419529480547572,0.0023446885515166775,57.59611461296525,0.49922007734285706,34.945412843999975,675.62890625
75,0,75,0.0,0.001,0.2777239200973516,0.13170770818956315,0.14601621190778846,0.0004756699398228818,3.720150296323541e-05,0.01465784842314978,0.0036780469912344673,0.0010746547732753073,0.0005326183980790323,0.15124730077713608,-0.0032000000000000015,-2.544927041790535e-05,0.9999999996899657,-0.0032254492704179125,0.003225449270417907,0.1,0.0026957107486538998,-0.01135330955913359,0.0025730923892880197,12.961835902577882,0.48323667983999863,36.24275779199991,675.62890625
80,0,80,0.0,0.001,0.32811805595709054,0.18499823898966183,0.14311981696742868,0.0006592192845994561,6.116614346493826e-05,0.014367093599047216,0.0038659230196853643,0.0011572964237376532,0.0005325181313113761,0.15024653776273694,-0.0032000000000000015,-6.406291712484648e-05,0.9999999996936334,-0.00326406291712486,0.003264062917124848,0.1,0.003026716904230977,-0.011296120844720894,0.0026913150745666585,40.02645280104028,0.47207562343749887,37.76605741499998,675.62890625
85,0,85,0.0,0.001,0.28676268058431154,0.13457052533721847,0.15219215524709304,0.0004865488516434516,3.7470436482420566e-05,0.015277820960135306,0.0036668819143295655,0.001078968922725916,0.000540195273745594,0.1534540517604567,-0.0032000000000000015,-3.4956473853888604e-05,0.9999999996908768,-0.0032349564738538947,0.00323495647385389,0.1,0.002669881762149901,-0.011359868122662375,0.0029388419265279036,19.730763138609632,0.4617688111176462,39.25035705999994,675.62890625
